source,incident_id,incident_date,formated_date,county,range,contained,company,incident_type,total_gallons,chem_gallons,water_gallons,oil,brine,other,water,note
o,2.01205E+13,4/23/2012,2012-04,MCKENZIE,15009726,Yes,Hess Corporation,Pipeline,0,0,0,0,0,0,0,
o,2.01204E+13,4/26/2012,2012-04,BILLINGS,14210009,Yes,Encore Energy,Fire,0,0,0,0,0,0,0,
o,2.01204E+13,4/23/2012,2012-04,GOLDEN VALLEY,14310315,No,Encore Energy,Fire,0,0,0,0,0,0,0,
o,NAA00000058,4/5/2012,2012-04,BOWMAN,12910610,Yes,Sequel Energy,Fire,0,0,0,0,0,0,0,
o,2.01204E+13,3/29/2012,2012-03,WILLIAMS,15610325,No,N/A,Other,0,0,0,0,0,0,0,
o,2.01203E+13,3/14/2012,2012-03,DUNN,14909227,No,ExxonMobil/XTO,Treater,0,0,0,0,0,0,0,
o,2.01203E+13,3/3/2012,2012-03,MCKENZIE,14810235,Yes,Sequel Energy,Fire,0,0,0,0,0,0,0,
o,2.01202E+13,12/26/2011,2011-12,STARK,14009933,No,Energy Equity Company,Other,0,0,0,0,0,0,0,
o,2.01202E+13,1/27/2012,2012-01,MCKENZIE,15309507,Yes,Hess Corporation,Pipeline,0,0,0,0,0,0,0,
o,2.01201E+13,1/27/2012,2012-01,MOUNTRAIL,15209001,Yes,EOG Resources,Pipeline,0,0,0,0,0,0,0,
o,CWV00000205,1/28/2012,2012-01,DUNN,14509509,No,Continental Resources,Fire,0,0,0,0,0,0,0,
o,2.01201E+13,1/7/2012,2012-01,BILLINGS,13810226,No,Continental Resources,Fire,0,0,0,0,0,0,0,
o,2.01201E+13,12/23/2011,2011-12,WILLIAMS,15510327,No,N/A,Other,0,0,0,0,0,0,0,
o,2.01112E+13,12/20/2011,2011-12,DIVIDE,16210201,No,Murex,Other,0,0,0,0,0,0,0,
o,2.01112E+13,12/7/2011,2011-12,WILLIAMS,15709935,Yes,Continental Resources,Other,0,0,0,0,0,0,0,
o,2.01112E+13,12/6/2011,2011-12,WILLIAMS,15709909,Yes,Hess Corporation,Fire,0,0,0,0,0,0,0,
o,2.01111E+13,11/17/2011,2011-11,WILLIAMS,15509505,Yes,Hess Corporation,Pipeline,0,0,0,0,0,0,0,
o,2.01111E+13,11/17/2011,2011-11,MOUNTRAIL,15209001,Yes,EOG Resources,Pipeline,0,0,0,0,0,0,0,
o,2.01111E+13,11/11/2011,2011-11,MCKENZIE,15110106,Yes,Buckhorn Energy Services,Fire,0,0,0,0,0,0,0,
o,ADC00000001,11/9/2011,2011-11,DUNN,14709616,No,Hess Corporation,Fire,0,0,0,0,0,0,0,
o,2.01111E+13,11/8/2011,2011-11,MCKENZIE,15009507,No,Hess Corporation,Pipeline,0,0,0,0,0,0,0,
o,2.0111E+13,10/21/2011,2011-10,MCKENZIE,15110110,Yes,Bear Paw Energy,Pipeline,0,0,0,0,0,0,0,
o,RWH00000301,9/27/2011,2011-09,BOWMAN,13110601,No,ConocoPhillips/Burlington Resources,Fire,0,0,0,0,0,0,0,
o,2.01109E+13,9/22/2011,2011-09,MCKENZIE,15309516,Yes,Hess Corporation,Pipeline,0,0,0,0,0,0,0,
o,2.01109E+13,9/17/2011,2011-09,MOUNTRAIL,15708918,No,EOG Resources,Fire,0,0,0,0,0,0,0,
o,2.01309E+13,9/14/2011,2011-09,WILLIAMS,15510111,Yes,Murex,Fire,0,0,0,0,0,0,0,
o,2.01109E+13,7/30/2011,2011-07,BILLINGS,14210028,Yes,Condor Petroleum,Fire,0,0,0,0,0,0,0,
o,2.01108E+13,8/21/2011,2011-08,MCKENZIE,15210111,No,Oasis Petroleum,Other,0,0,0,0,0,0,0,
o,2.01108E+13,8/14/2011,2011-08,MOUNTRAIL,15509103,No,Arsenal Energy,Truck/Rail,0,0,0,0,0,0,0,
o,2.01107E+13,7/13/2011,2011-07,WILLIAMS,15310223,Yes,"Ryan Exploration, Inc.",Other,0,0,0,0,0,0,0,
o,2.01107E+13,7/10/2011,2011-07,GOLDEN VALLEY,14310309,Yes,Encore Energy,Other,0,0,0,0,0,0,0,
o,2.01106E+13,6/20/2011,2011-06,DIVIDE,16210122,Yes,Murex,Other,0,0,0,0,0,0,0,
o,2.01106E+13,6/15/2011,2011-06,MCKENZIE,15110316,Yes,Murex,Valve,0,0,0,0,0,0,0,
o,2.01106E+13,6/13/2011,2011-06,WILLIAMS,15509506,Yes,Hess Corporation,Pipeline,0,0,0,0,0,0,0,
o,2.01106E+13,6/9/2011,2011-06,WILLIAMS,15510422,No,Continental Resources,Other,0,0,0,0,0,0,0,
o,2.01106E+13,5/6/2011,2011-05,MCKENZIE,15210226,No,Encore Energy,Overflow,0,0,0,0,0,0,0,
o,2.01106E+13,5/16/2011,2011-05,MCKENZIE,15109721,No,Continental Resources,Other,0,0,0,0,0,0,0,
