source	incident_id	incident_date	county	range	contained	company	incident_type	total_gallons	chem_gallons	water_gallons	oil	brine	other	water	note
o	20130513102553	2013-05-10	MOUNTRAIL	15009202	No	WPX	Stuffing Box	210	210	0	210	0	0	0	""
o	20130507100839	2013-05-05	BURKE	16209008	No	Williston Hunter	Stuffing Box	210	210	0	210	0	0	0	""
o	20130427215453	2013-04-27	MOUNTRAIL	15809007	No	EOG Resources	Other	210	210	0	42	168	0	0	""
o	20130411163218	2013-04-09	MCKENZIE	15009921	No	Newfield Production Company	Other	210	210	0	210	0	0	0	""
o	20140113120405	2013-01-10	DUNN	14209634	Yes	Oxy	Pump	210	210	0	210	0	0	0	""
o	NAN00000042	2013-01-07	BILLINGS	14110126	Yes	Denbury Onshore	Overflow	210	210	0	210	0	0	0	""
o	20121221103216	2012-12-20	WILLIAMS	15709603	No	ExxonMobil/XTO	Valve	210	210	0	210	0	0	0	""
o	20121221130105	2012-12-21	MCKENZIE	15310236	Yes	SM Energy	Other	210	210	0	0	210	0	0	""
o	20121210162155	2012-12-10	WILLIAMS	15509601	Yes	Hess Corporation	Pipeline	210	210	0	42	168	0	0	""
o	20121206190450	2012-12-05	MCKENZIE	15010026	No	Whiting Oil & Gas	Treater	210	210	0	0	210	0	0	""
o	20121204153428	2012-12-04	WILLIAMS	15609734	Yes	Hess Corporation	Other	210	210	0	0	210	0	0	""
o	20130324145137	2013-03-24	BURKE	16109029	Yes	Petro Harvester	Valve	210	210	0	0	210	0	0	""
o	20130322110820	2013-03-14	MCKENZIE	15010013	No	N/A	Other	210	210	0	0	210	0	0	""
